,Media Sources,Negative,Neutral,Positive,Tweet Polarity,Tweets Ago
487,CNN,0.905,0.0,0.095,0.2,3
488,BBC,1.0,0.0,0.0,0.0,3
489,Fox,0.604,0.221,0.174,-0.2,3
490,Fox,0.791,0.209,0.0,-0.7,2
491,New York Times,0.575,0.293,0.132,-0.4,2
492,CNN,1.0,0.0,0.0,0.0,2
493,CBS,0.69,0.31,0.0,-0.7,2
494,BBC,0.773,0.227,0.0,-0.7,2
495,Fox,1.0,0.0,0.0,0.0,1
496,CNN,0.707,0.131,0.162,0.2,1
497,New York Times,0.915,0.085,0.0,-0.1,1
498,CBS,0.643,0.193,0.164,-0.1,1
499,BBC,0.704,0.178,0.117,-0.3,1
